Month,PDP Base (BOE/d),Midland new pads (BOE/d),Delaware new pads (BOE/d),New pads total (BOE/d),Total (BOE/d),BOE / month,Revenue Oil,Revenue NGL,Revenue Gas,Revenue,OPEX,EBITDA,CAPEX,Net Operating Cash Flow,SEC Net Cash Flow,Discount Factor,PV (all-in),PV (SEC)
94,43237.49490387785,52748.18027427667,22461.60094037379,75209.78121465046,118447.2761185283,3600797.19400326,127142708.60137755,13280460.210922824,4958297.736142489,145381466.54844287,52535631.060507566,92845835.4879353,72828000.0,20017835.487935305,26319230.577441007,0.47209848242322056,9450389.755251946,12425268.814156722
95,42926.07320751319,52937.84961869919,22527.711211242407,75465.56082994159,118391.6340374548,3599105.674738626,127082981.73275101,13274221.549571002,4955968.514115088,145313171.7964371,52510951.79443655,92802220.00200057,72828000.0,19974220.00200057,26272654.932793155,0.46836368463018074,9355199.277750844,12305157.469340296
96,42617.71031819979,53125.91287114429,22593.13687004952,75719.04974119381,118336.7600593936,3597437.505805565,127024079.3549922,13268069.008912086,4953671.445494263,145245819.80939856,52486613.20970319,92759206.59969537,72828000.0,19931206.59969537,26226722.234855115,0.4646584330336957,9261203.227085305,12186467.657257764
97,42312.359067051926,53312.39965100771,22657.891675574712,75970.29132658243,118282.65039363437,3595792.5719664847,126965997.3991078,13262002.16392679,4951406.37159785,145179405.93463245,52462613.62499101,92716792.30964145,72828000.0,19888792.30964145,26181429.310582787,0.4609824938921335,9168385.079401202,12069180.577253055
98,42009.97347077637,53497.338741905216,22721.98897866549,76219.3277205707,118229.30119134708,3594170.756216951,126908731.73371808,13256020.58307936,4949173.131310742,145113925.44810817,52438951.33320532,92674974.11490285,72828000.0,19846974.114902854,26136772.93828252,0.4573356353130057,9076728.515879875,11953277.65676121
99,41710.5086898727,53680.75812326503,22785.441738153233,76466.19986141825,118176.70855129095,3592571.939959245,126852278.17118496,13250123.828957688,4946971.56132388,145049373.56146652,52415624.60400538,92633748.95746113,72828000.0,19805748.957461134,26092749.852389812,0.4537176272383382,8986217.422657456,11838740.551149804
100,41413.92098865419,53862.685000429265,22848.262536001886,76710.94753643115,118124.86852508532,3590996.0031625936,126796632.47326992,13244311.45886428,4944801.496354892,144985745.4284891,52392631.68614224,92593113.74234685,72828000.0,19765113.742346853,26049356.747881383,0.45012824143015856,8896835.890509648,11725551.143310681
101,41120.16769699621,54043.14583334848,22910.463591733343,76953.60942508183,118073.77712207804,3589442.8245111722,126741790.35635969,13238583.025362108,4942662.769351885,144923036.1510737,52369970.809618,92553065.3414557,72828000.0,19725065.341455698,26006590.284350246,0.4465672514560981,8808568.214325812,11613691.543027155
102,40829.20717372572,54222.166363947894,22972.056776170524,77194.22314011841,118023.43031384412,3587912.281540861,126687747.4962952,13232938.076779004,4940555.2116817655,144861240.78475595,52347640.18768116,92513600.59707478,72828000.0,19685600.597074777,25964447.0897713,0.4430344326751071,8721398.892393773,11503144.086139664
103,40540.998771568986,54399.77164223876,23033.05362453644,77432.82526677521,117973.8240383442,3586404.2507656636,126634499.53283529,13227376.157673921,4938478.653304319,144800354.3438135,52325638.01867103,92474716.32514247,72828000.0,19646716.325142473,25922923.763982385,0.43952956222328404,8635312.625514919,11393891.333530745
104,40255.50280358078,54575.98605124377,23093.4653489451,77669.45140018887,117924.95420376964,3584918.607794597,126582042.07378411,13221896.809268033,4936432.922933159,144740371.8059853,52303962.487723164,92436409.31826213,72828000.0,19608409.31826213,25882016.88190268,0.43605241899981634,8550294.315966742,11285916.069947748
105,39972.68051098136,54750.83333080089,23153.30285031774,77904.13618111864,117876.8166921,3583455.22743984,126530370.69880979,13216499.569843618,4934417.84818466,144681288.11683804,52282611.76834726,92398676.34849077,72828000.0,19570676.348490775,25841722.996510506,0.43260278365303234,8466329.066329671,11179201.302681025
106,39692.49403233271,54924.3366003058,23212.57672975587,78136.91333006168,117829.40736239438,3582013.983816789,126479480.9629773,13211183.975113083,4932433.2557157185,144623098.1938061,52261584.02388695,92361514.16991916,72828000.0,19533514.169919163,25802038.641598552,0.429180438566564,8383402.178192099,11073730.2601127
107,39414.90637398851,55096.51838044985,23271.29729940039,78367.81567985025,117782.72205383876,3580594.750436698,126429368.40001965,13205949.558560632,4930478.971351334,144565796.9299316,52240877.40887143,92324919.52106018,72828000.0,19496919.521060184,25762960.334324405,0.42578516784561876,8301499.150747132,10969486.390150335
108,39139.88138175654,55267.400614006256,23329.47459280456,78596.87520681082,117736.75658856735,3579197.4002924473,126380028.52536622,13200795.851758605,4928554.820202701,144509379.19732752,52220490.070266806,92288889.12706071,72828000.0,19460889.12706071,25724484.577572495,0.4224167573033596,8220605.679293194,10866453.358558457
109,38867.38371371527,55437.004685714615,23387.11837484644,78824.12306056105,117691.50677427632,3577821.805938,126331456.83894841,13195722.38466053,4926660.626776625,144453839.85038558,52200420.14863542,92253419.70175016,72828000.0,19425419.70175016,25686607.86214167,0.419074994447394,8140707.653649245,10764615.047199406
110,38597.37881412956,55605.35144131043,23444.23815120532,79049.58959251575,117646.96840664532,3576467.8395620175,126283648.82779904,13190728.685872633,4924796.215076898,144399173.72874856,52180665.77920984,92218507.94953872,72828000.0,19390507.949538723,25649326.66877225,0.4157596684663687,8061791.156494706,10663955.55219434
111,38329.832888413584,55772.46120574364,23500.84317742472,79273.30438316836,117603.13727158196,3575135.3730560914,126236599.96846136,13185814.282905476,4922961.4086982375,144345375.66006508,52161225.09288837,92184150.56717671,72828000.0,19356150.567176715,25612637.47002487,0.412470570216671,7983842.461643119,10564459.182014031
112,38064.71287909168,55938.35380062747,23556.9424675836,79495.29626821107,117560.00914730274,3573824.2780780033,126190305.72922309,13180978.702407293,4921156.030913411,144292440.4625438,52142096.217158064,92150344.24538572,72828000.0,19322344.24538572,25576536.732022226,0.409207492209235,7906848.032257834,10466110.455508199
113,37801.94460805503,56103.0485609566,23612.54480259563,79715.59336355224,117517.53797160726,3572533.154336861,126144716.66637284,13176216.77982521,4919378.153521857,144240311.5997199,52123258.7217748,92117052.87794511,72828000.0,19289052.87794511,25540985.898034617,0.40597022859645276,7830781.206268442,10368879.88360389
114,37541.09363771147,56266.564351131135,23667.6587381558,79934.22308928694,117475.3167269984,3571249.628500751,126099395.88251014,13171482.879836472,4917610.738445535,144188489.50079215,52104532.07982596,92083957.42096618,72828000.0,19255957.42096618,25505644.270842493,0.4027585751591881,7755501.974194333,10272616.945041632
115,37282.04266018401,56428.91958032096,23722.292612351877,80151.21219267283,117433.25485285684,3569970.947526848,126054246.168794,13166766.848668521,4915849.99474447,144136863.012207,52085876.12441671,92050986.88779029,72828000.0,19222986.887790293,25470436.045962274,0.39957232929389447,7680973.646740358,10177281.459016318
116,37024.77925468644,56590.13221720295,23776.454552957737,80366.58677016068,117391.36602484711,3568697.5271553523,126009282.20484464,13162070.219654372,4914096.49489292,144085448.91939193,52067296.92119659,92018151.99819535,72828000.0,19190151.99819535,25435372.67071721,0.39641128999983294,7607192.90889749,10082868.892025504
117,36769.29108614171,56750.21980410169,23830.15248442421,80580.37228852589,117349.6633746676,3567429.766589895,125964518.08638257,13157394.465136852,4912350.788594286,144034263.3401137,52048800.29454657,91985463.04556713,72828000.0,19157463.045567125,25400465.137099445,0.39327525786639295,7534156.219311304,9989374.476719107
118,36515.56590459057,56909.19937135914,23883.39413458247,80792.59350594161,117308.1594105322,3566168.0460801786,125919967.2398727,13152740.987552915,4910613.399452406,143983321.62687802,52030391.792309806,91952929.83456822,72828000.0,19124929.834568217,25365723.915208533,0.39016403506051267,7461859.794504318,9896793.194988707
119,36263.591544604154,57067.08190578364,23936.18704107396,81003.2689468576,117266.86049146176,3564912.558940437,125875636.49116327,13148110.499884121,4908884.593660982,143932631.58470836,52012074.234940976,91920557.34976739,72828000.0,19092557.349767387,25331154.32791315,0.38707742531419875,7390297.941611642,9805117.997485245
120,36013.35592470071,53200.51497741115,22350.35855752007,75550.87353493122,111564.22945963193,3391552.5755728106,119754364.82244574,12508724.20922764,4670167.89656376,136933256.92823714,49482752.077607304,87450504.85062984,0.0,87450504.85062984,93385721.85788226,0.384015233912145,33582326.07594979,35861539.82330917
121,35764.8470467663,50318.07910607124,21069.310196434428,71387.38930250568,107152.23634927196,3257427.9850178673,115018479.1797869,12014045.8943429,4485478.335369604,131518003.4094994,47525874.30141068,83992129.10808873,0.0,83992129.10808873,89692628.08186999,0.380977267679449,31999091.854179163,34170852.37761985
122,35518.052995479586,48009.28562007833,19998.5106414916,68007.79626156992,103525.8492570495,3147185.8174143047,111125872.33857216,11607450.73178744,4333674.870579498,127066997.9409391,45917441.076074705,81149556.8648644,0.0,81149556.8648644,86657132.04533944,0.37796333496942597,30671557.143935222,32753218.626742408
123,35272.96193774044,46079.12224039435,19081.30479647936,65160.427036873705,100433.38897461416,3053175.0248282705,107806388.85667631,11260720.12657163,4204222.009188529,123271330.99243647,44545823.612244464,78725507.38019201,0.0,78725507.38019201,84068563.67364147,0.37497324565151896,29519959.017913207,31523462.17796673
124,35029.56212210264,44418.90424224828,18281.097398956637,62700.001641204915,97729.56376330755,2970978.7384045497,104904070.8615693,10957563.78298366,4091037.7227830654,119952672.36733602,43346579.79332238,76606092.57401365,0.0,76606092.57401365,81805305.3662216,0.3720068110993044,28497988.20923692,30432130.780292913
125,34787.84187821038,42961.54853708488,17572.900509020037,60534.44904610492,95322.29092431533,2897797.6440991857,102320075.69408461,10687657.270966617,3990267.3559245784,116998000.32097581,42278867.62740712,74719132.69356869,0.0,74719132.69356869,79790278.57074226,0.3690638441785933,27576130.34557887,29447706.937398974
126,34547.78961623876,41662.591055341705,16938.904207833726,58601.49526317543,93149.2848794142,2831738.260334192,99987545.2770962,10444017.051764566,3899303.5844801823,114330865.91334094,41315061.21827586,73015804.69506508,0.0,73015804.69506508,77971346.65064992,0.3661441592356255,26734310.42098724,28548753.163871717
127,34309.393826338026,40490.96511754472,16365.973731677284,56856.938849222,91166.33267556004,2771456.513337025,97859020.90332504,10221685.912489617,3816295.6188650834,111897002.43467975,40435550.529587194,71461451.90509255,0.0,71461451.90509255,76311500.80343235,0.36324757208535846,25958198.90221948,27719967.38903668
128,34072.643078081746,39424.06499835109,15844.148747438212,55268.2137457893,89340.85682387104,2715962.0474456795,95899533.51048797,10017011.223389156,3739879.739332701,109656424.47320983,39625886.272232465,70030538.20097736,0.0,70030538.20097736,74783471.78400731,0.360373899999848,25237178.170574546,26950011.382331304
